name,population,latitude,longitude,dst_offset,raw_offset,total_offset,timezone,sunset_utc
ibague,421689.0,4.438889,-75.232222,0,-18000,-18000,0,1406762160
east london,421562.0,-33.011051,27.910049,0,7200,7200,0,1406734140
shaoxing,421283.0,30.011019,120.571528,0,28800,28800,0,1406717520
erzurum,420919.0,39.908611,41.276944,3600,7200,10800,0,1406737800
ivanovo,420843.0,56.997192,40.971392,0,14400,14400,0,1406741580
akure,420623.0,7.25256,5.193118,0,3600,3600,0,1406743080
asyut,420614.0,27.1827778,31.1827778,0,7200,7200,0,1406738700
kenitra,420534.0,34.261008,-6.580203,0,0,0,0,1406752140
jambi,420391.0,-1.6,103.616667,0,25200,25200,0,1406718780
korba,419326.0,22.35,82.683333,0,19800,19800,0,1406725860
bokaro,418578.0,23.783333,85.966667,0,19800,19800,0,1406725200
san juan,418140.0,18.4683333,-66.1061111,0,-14400,-14400,0,1406761140
sukkur,417923.0,27.705164,68.857383,0,18000,18000,0,1406729700
auckland,417910.0,-36.866667,174.766667,0,43200,43200,0,1406698440
mangaluru,417423.0,12.863889,74.835278,0,19800,19800,0,1406726880
luohe,417356.0,33.571667,114.035278,0,28800,28800,0,1406719500
shymkent,414059.0,42.3,69.6,0,21600,21600,0,1406731380
hsinchu,413683.0,24.8047222,120.9713889,0,28800,28800,0,1406716860
